,,slope,slope,slope,,VOTOS,,,,,ESTIMADO ZARATE,,,
,,FpV,Pro,Massa,,Propato,Caffaro,Bullrich,Larreta,,Propato,Caffaro,Bullrich,Larreta
circuito_id,mesa_id,,,,,,,,,,,,,
1014,102,226.8,286.5,209.7,,,,,,,,,,
1014,103,225,345.5,216.7,,,,,,,,,,
1014,104,225.2,320.1,232.2,,,,,,,,,,
1014,105,242.8,272.3,259.6,,,,,,,,,,
1014,106,256.3,267.1,232,,,,,,,,,,
1014,107,247.6,288,218.3,,49,44,,,,12132.4,12672,,
1014,108,226.1,303.9,206.7,,64,44,,,,14470.4,13371.6,,
1014,109,244.8,293.3,260.5,,,,,,,,,,
1014,110,241.3,300.5,272,,,,,,,,,,
1014,111,249.4,294.8,235.4,,71,35,,,,17707.4,10318,,
1014,112,237.5,323,266.7,,62,36,,,,14725,11628,,
1014,113,229.1,270.1,250.3,,,,,,,,,,
1014,114,227.4,294,245.5,,64,41,,,,14553.6,12054,,
1014,115,251.8,293.7,230.5,,56,44,,,,14100.8,12922.8,,
1014,116,241.3,303.2,232.8,,,,,,,,,,
1014,117,246.1,329,208.1,,,,,,,,,,
1014,118,218.3,376.5,246.7,,73,32,,,,15935.9,12048,,
1014,119,220.6,325.1,221.4,,,,,,,,,,
1014,120,211.5,349.3,238.3,,,,,,,,,,
1014,121,238.7,360.6,263,,84,41,,,,20050.8,14784.6,,
1014,122,244.9,288.4,243.8,,70,30,,,,17143,8652,,
1014,123,269.4,254,246.8,,,,,,,,,,
1014,124,269.3,297.4,267.6,,,,,,,,,,
1014,125,238.2,330.1,256.8,,,,,,,,,,
1014,126,263.5,314.3,232.7,,,,,,,,,,
1014,127,233,361.3,252.7,,,,,,,,,,
1014,128,237.8,307.7,228.6,,,,,,,,,,
1014,129,261.4,395.8,414.8,,,,,,,,,,
1014,130,244.1,305.7,282.8,,,,,,,,,,
1014,131,254.1,400.3,348.5,,,,,,,,,,
1014,132,238.6,368.2,,,68,53,,,,16224.8,19514.6,,
1015,126,288.5,,262.3,,,,,,,,,,
1015,127,250.2,,241.2,,,,,,,,,,
1015,128,321.4,,205.8,,,,,,,,,,
1015,129,238.2,,236.2,,,,,,,,,,
1015,130,242.5,209.9,263.3,,,,,,,,,,
1015,131,293.5,184.4,209.8,,,,,,,,,,
1015,132,308.2,187,227.3,,,,,,,,,,
1015,133,262,214,233.8,,,,,,,,,,
1015,134,284.9,192.1,232.8,,66,46,,,,18803.4,8836.6,,
1015,135,325.3,189.3,243.1,,35,26,,,,11385.5,4921.8,,
1015,136,276.8,200.7,224.6,,,,,,,,,,
1015,137,316.4,196.6,225.8,,54,43,,,,17085.6,8453.8,,
1015,138,309.7,190.8,219.6,,,,,,,,,,
1015,139,299.2,199.7,250.2,,,,,,,,,,
1015,140,284.6,201.9,252.3,,,,,,,,,,
1015,141,276.7,209.6,210.7,,,,,,,,,,
1015,142,349.7,201.1,242.2,,,,,,,,,,
1015,143,282.2,209.8,223.1,,,,,,,,,,
1015,144,277.2,206.9,227.2,,56,52,,,,15523.2,10758.8,,
1015,145,327,181.7,249.3,,,,,,,,,,
1015,146,280.6,204,261.1,,55,45,,,,15433,9180,,
1015,147,323.9,181.7,228.8,,,,,,,,,,
1015,148,305.6,200.4,199,,,,,,,,,,
1015,149,299.1,238.6,279.6,,,,,,,,,,
1015,150,310.1,204.3,231.9,,,,,,,,,,
1015,151,317.5,241.4,386.9,,,,,,,,,,
1015,152,675.4,353.4,,,,,,,,,,,
1015,153,541.9,364.3,,,,,,,,,,,
1016,146,329.4,,219.9,,,,,,,,,,
1016,147,294.9,,220.1,,,,,,,,,,
1016,148,282.4,,248.8,,,,,,,,,,
1016,149,297.3,,208.6,,,,,,,,,,
1016,150,282.2,181.3,231.1,,,,,,,,,,
1016,151,223.5,222.4,248.2,,,,,,,,,,
1016,152,287.4,220.4,242.2,,,,,,,,,,
1016,153,306.4,182.8,262.5,,,,,,,,,,
1016,154,280.8,226.9,239.1,,,,,,,,,,
1016,155,242.8,234.9,245.5,,,,,,,,,,
1016,156,290.2,215.6,231.7,,,,,,,,,,
1016,157,293.4,231.2,283,,,,,,,,,,
1016,158,263.8,243.4,226.6,,61,34,,,,16091.8,8275.6,,
1016,159,274.7,230.4,234.9,,,,,,,,,,
1016,160,257.6,244.2,277.3,,,,,,,,,,
1016,161,268.6,303.4,273.7,,,,,,,,,,
1016,162,273.7,214.9,242.7,,,,,,,,,,
1016,163,290.7,213.7,254.2,,,,,,,,,,
1016,164,324.7,253.3,533.9,,,,,,,,,,
1017,153,202.7,,294.7,,,,,,,,,,
1017,154,256.7,,233,,,,,,,,,,
1017,155,260,,271.1,,,,,,,,,,
1017,156,227.1,,261,,,,,,,,,,
1017,157,227.2,,268.2,,,,,,,,,,
