año,eleccion_tipo,padron_tipo,distrito_nombre,cargo_nombre,agrupacion_nombre,votos_cantidad,fuerza
2011,GENERAL,NORMAL,Formosa,Presidente,Alianza Frente para la Victoria,181966,PERON
2011,GENERAL,NORMAL,Formosa,Presidente,Alianza Frente Amplio Progresista,6375,SOCIALISTA
2011,GENERAL,NORMAL,Formosa,Presidente,Alianza Unión para el Desarrollo Social,34659,UCR
2011,GENERAL,NORMAL,Jujuy,Diputado Nacional,Alianza Frente para la Victoria,143744,PERON
2011,GENERAL,NORMAL,Jujuy,Diputado Nacional,Alianza Unión para el Desarrollo Social,68276,UCR
2011,GENERAL,NORMAL,Jujuy,Diputado Nacional,Alianza Frente Primero Jujuy,23840,OTROS
2011,GENERAL,NORMAL,Jujuy,Presidente,Alianza Frente para la Victoria,195652,PERON
2011,GENERAL,NORMAL,Jujuy,Presidente,Alianza Frente Amplio Progresista,25205,SOCIALISTA
2011,GENERAL,NORMAL,Jujuy,Presidente,Alianza Unión para el Desarrollo Social,58025,UCR
2011,GENERAL,NORMAL,La Pampa,Diputado Nacional,Alianza Compromiso Federal,7668,PROVINCIAL
2011,GENERAL,NORMAL,La Pampa,Diputado Nacional,Partido Humanista,85313,OTROS
2011,GENERAL,NORMAL,La Pampa,Diputado Nacional,Alianza Frente Pampeano Cívico y Social (FREPAM),51746,SOCIALISTA
2011,GENERAL,NORMAL,La Pampa,Presidente,Alianza Frente para la Victoria,102096,PERON
2011,GENERAL,NORMAL,La Pampa,Presidente,Alianza Frente Amplio Progresista,23977,SOCIALISTA
2011,GENERAL,NORMAL,La Pampa,Presidente,Alianza Unión para el Desarrollo Social,23387,UCR
2011,GENERAL,NORMAL,La Rioja,Diputado Nacional,Unión Cívica Radical,34756,UCR
2011,GENERAL,NORMAL,La Rioja,Diputado Nacional,Alianza Frente para la Victoria Riojana,54430,PERON
2011,GENERAL,NORMAL,La Rioja,Diputado Nacional,Alianza Frente Popular Riojano,42074,OTROS
2011,GENERAL,NORMAL,La Rioja,Presidente,Alianza Frente para la Victoria,76891,PERON
2011,GENERAL,NORMAL,La Rioja,Presidente,Alianza Unión para el Desarrollo Social,26067,UCR
