in1_prov,in1_dpto,eleccion_tag,cargo_tag,fuerza,votos_cantidad,votos_porcentaje
2,2014,GRAL19n,GB,NO POSITIVOS,3829,0.03470403233846628
2,2014,GRAL19n,GB,OTROS,3798,0.034423064722249916
2,2014,GRAL19n,GB,PERON,21453,0.1944386538932142
2,2014,GRAL19n,GB,PRO,78622,0.7125882555536421
2,2014,GRAL19n,PR,IZQUIERDA,2092,0.018954769498405334
2,2014,GRAL19n,PR,NO POSITIVOS,1816,0.01645404465062337
2,2014,GRAL19n,PR,OTROS,6853,0.062092273122644245
2,2014,GRAL19n,PR,PERON,22456,0.20346477239779645
2,2014,GRAL19n,PR,PRO,77151,0.6990341403305306
2,2014,GRAL19n,SN,IZQUIERDA,3080,0.027901077996195307
2,2014,GRAL19n,SN,NO POSITIVOS,3177,0.028779780777244315
2,2014,GRAL19n,SN,OTROS,6578,0.05958873086330284
2,2014,GRAL19n,SN,PERON,20993,0.1901712111604312
2,2014,GRAL19n,SN,PRO,76562,0.6935591992028264
2,2014,PASO11n,DN,IZQUIERDA,1856,0.0283203125
2,2014,PASO11n,DN,NO POSITIVOS,2037,0.0310821533203125
2,2014,PASO11n,DN,OTROS,48282,0.736724853515625
2,2014,PASO11n,DN,PERON,10329,0.1576080322265625
2,2014,PASO11n,DN,PROVINCIAL,3032,0.0462646484375
2,2014,PASO11n,PR,IZQUIERDA,1783,0.026485049241692784
2,2014,PASO11n,PR,NO POSITIVOS,1496,0.022221892128756256
2,2014,PASO11n,PR,OTROS,29670,0.44072429108302014
2,2014,PASO11n,PR,PERON,11716,0.17403187712600823
2,2014,PASO11n,PR,PROVINCIAL,5136,0.0762912018538049
2,2014,PASO11n,PR,SOCIALISTA,9688,0.14390754742205256
2,2014,PASO11n,PR,UCR,7832,0.1163381411446651
2,2014,PASO13n,DN,NO POSITIVOS,2557,0.0511492068572343
2,2014,PASO13n,DN,OTROS,45898,0.9181252625472585
2,2014,PASO13n,DN,PROVINCIAL,1536,0.03072553059550719
2,2014,PASO13n,SN,NO POSITIVOS,2516,0.05596956821569195
2,2014,PASO13n,SN,OTROS,40922,0.910328565390519
2,2014,PASO13n,SN,PROVINCIAL,1515,0.03370186639378907
2,2014,PASO15n,DN,IZQUIERDA,3231,0.03220661676019976
2,2014,PASO15n,DN,MASSA,7428,0.07404232413951217
2,2014,PASO15n,DN,NO POSITIVOS,2392,0.023843462485421796
2,2014,PASO15n,DN,OTROS,8756,0.08727983174011424
2,2014,PASO15n,DN,PERON,12614,0.12573638620029703
2,2014,PASO15n,DN,PRO,65244,0.6503523688958444
2,2014,PASO15n,DN,PROVINCIAL,656,0.00653900977861066
2,2014,PASO15n,MN,IZQUIERDA,3432,0.034184969370984614
2,2014,PASO15n,MN,MASSA,7555,0.07525275163105732
2,2014,PASO15n,MN,NO POSITIVOS,4041,0.040251008516360376
2,2014,PASO15n,MN,OTROS,5973,0.05949499477065591
2,2014,PASO15n,MN,PERON,13097,0.1304547039195179
2,2014,PASO15n,MN,PRO,65677,0.6541859654365257
2,2014,PASO15n,MN,PROVINCIAL,620,0.006175606354898153
2,2014,PASO15n,MP,IZQUIERDA,3379,0.033651691547738796
2,2014,PASO15n,MP,MASSA,7496,0.074653175448905
2,2014,PASO15n,MP,NO POSITIVOS,3882,0.038661102867215746
2,2014,PASO15n,MP,OTROS,7444,0.07413530390096702
2,2014,PASO15n,MP,PERON,12476,0.12424933523219568
2,2014,PASO15n,MP,PRO,65087,0.6482058738584418
2,2014,PASO15n,MP,PROVINCIAL,647,0.006443517144535957
2,2014,PASO15n,PR,IZQUIERDA,3510,0.03471741409665487
2,2014,PASO15n,PR,MASSA,8236,0.0814622856125497
2,2014,PASO15n,PR,NO POSITIVOS,1752,0.017329034044826018
2,2014,PASO15n,PR,OTROS,6455,0.06384641253387668
2,2014,PASO15n,PR,PERON,13337,0.13191628256612134
2,2014,PASO15n,PR,PRO,67110,0.6637850883266404
2,2014,PASO15n,PR,PROVINCIAL,702,0.006943482819330973
2,2014,PASO17c,DN,NO POSITIVOS,0,
