agrupacion_nombre,votos_cantidad,fuerza
ALIANZA JUSTICIALISTA,6885,
"ALIANZA UNION, PRODUCCION Y TRABAJO",6781,
ENCUENTRO POR ROJAS,6600,
SOMOS ENERGÍA PARA RENOVAR SANTA CRUZ -SER-,6599,
CREO,6161,
IZQUIERDA AL FRENTE POR EL SOCIALISMO,6147,IZQUIERDA
PARTIDO RENOVADOR FEDERAL,5878,MASSA
Movimiento Popular Fueguino,5770,
INTEGRACION VECINALISTA ROSALEÑA,5672,
PARTIDO FE,5622,
MOVIMIENTO AL SOCIALISMO,5604,IZQUIERDA
ALIANZA FRENTE TERCERA POSICION,5583,
FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,5521,
FRENTE SOCIALISTA Y POPULAR,5361,
ALIANZA FRENTE UNIDOS,5347,
ACCION MARPLATENSE,5346,
FRENTE MXC MERC Y SANLUISEÑOS,5311,
CONCORDANCIA APERTURISTA SALTENSE,5299,
ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA,5190,
MOV.POL. SOCIAL Y CULTURAL PROYECTO SUR,5165,
VAMOS LA RIOJA,5152,
Rivadavia Primero,4954,
PATRIA GRANDE,4942,
UNIDOS POR SANTA ROSA,4830,
MOVIMIENTO DE ACCION VECINAL,4744,
UNITE POR LA LIBERTAD Y LA DIGNIDAD,4717,
Encuentro por Rojas,4609,
FRENTE TIERRA DE UNION,4605,
PROPUESTA PINAMAR-PROPIN,4447,
GEM,4394,
UNION VECINAL SALLIQUELO,4388,
SOCIALISTA,4326,SOCIALISTA
PARTIDO PRIMERO JUJUY,4311,
PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA,4292,
PROPUESTA PINAMAR PROPIN,4270,
ESPACIO UNION PRO,4115,PRO
Movimiento Unión del Partido de Pinamar,4092,
UNION VECINAL CONSERVADORA DE LOBOS,3979,
VERDE,3964,
RIVADAVIA PRIMERO,3926,
PARTIDO DIGNIDAD POPULAR,3853,
MO.V.I.PRO.,3838,
MOVIPRO,3819,
FRENTE RENOVADOR - 1PAIS,3795,MASSA
PARTIDO SOCIALISTA,3791,SOCIALISTA
UNIÓN POR SALTA,3754,
MST - NUEVA IZQUIERDA,3743,IZQUIERDA
DEL OBRERO,3533,
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO,3520,PRO
Compromiso Pringles,3400,
FRENTE DEL PUEBLO,3350,
"FRENTE PAMPEANO, CIVICO Y SOCIAL (FREPAM)",3337,SOCIALISTA
Nueva Alternativa Carmeña,3327,
MOVIMIENTO SOCIAL PARA UNA MEJOR VIDA,3305,
Unión Vecinal G. Chaves,3177,
Acción por Villarino,2966,
Unidad X Chascomus,2847,
PRIMERO CHIVILCOY,2840,
Integración Ciudadana,2836,
Proyecto Sur,2823,
UNION VECINAL DE GONZALES CHAVES,2772,
AL.FTE. UNIDOS Y ORGANIZADOS POR LA SOB. POPULAR,2677,
JUNTOS POR DORREGO,2494,PRO
OBRERO,2369,
MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE,2367,
FRENTE CORDOBA CIUDADANA,2365,
1º TRES LOMAS,2316,
PARTIDO CIUDADANOS A GOBERNAR,2266,
MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD,2254,
SOMOS CORRIENTES,2254,
JUNTOS POR EL CAMBIO +,2219,PRO
FRENTE CIVICO FEDERAL -UDESO MENDOZA,2171,
1º Tres Lomas,2042,
FEDERAL,2031,
DEFENSA COMUNAL DE GENERAL PAZ,1932,
CAMBIO POPULAR,1922,
EVOLUCION,1853,
FRENTE NOS,1765,
UNIDAD POR CHASCOMUS,1754,
ALIANZA FRENTE PROGRESISTA POPULAR,1679,
Alianza Frente de Izquierda y de los Trabajadores,1661,IZQUIERDA
UNA NUEVA OPORTUNIDAD SUARENSE,1584,
MOVIMIENTO LIBRES DEL SUR,1535,
COALICION CIVICA ARI,1499,
PRINCIPIOS Y CONVICCION,1477,
TODOS POR BUENOS AIRES,1470,
Pro-Propuesta Republicana,1453,
AVANZA LIBERTAD,1436,
ES POSIBLE,1427,
FRENTE MERCEDINOS POR EL CAMBIO,1427,
MOVIMIENTO NUEVO TREINTA DE NOVIEMBRE,1393,
PARTIDO FRENTE FEDERAL,1374,
ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO,1341,
Frente Opositor,1260,
CRECER,1251,
GEM CATAMARCA,1238,
Partido Justicialista,1227,
FRENTE PATRIOTA,1220,
MOVIMIENTO SOLIDARIO POPULAR,1205,
ALIANZA TODOS POR SAN JUAN,1157,
FRENTE PATRIOTA BANDERA VECINAL,1121,
Fortaleza,1086,
PARTIDO PROYECTO SUR CHACO,1086,
DE ACCION CHUBUTENSE,1074,
UNA RIOJA,1062,
FRENTE AVANCEMOS,1033,
MOVIMIENTO POPULAR FUEGUINO,1005,
CONSTRUCCION SOCIAL PARTICIPATIVA,985,
PUEBLO NUEVO,968,
IZQUIERDA POR UNA OPCION SOCIALISTA,968,IZQUIERDA
FRENTE PRIMERO JUJUY,934,
PROTECTORA FUERZA POLÍTICA,885,
GEN,884,
CHUBUT AL FRENTE,875,
1 PROYECTO SANTAFESINO,875,
FRENTE UNIDOS POR LA GENTE,861,
LA LIBERTAD AVANZA,838,
MOVIMIENTO ORGANIZACION DEMOCRATICA,824,
MOVIMIENTO NORTE GRANDE,822,
ALIANZA PROYECTO SUR,818,
PARTIDO MOVIMIENTO VECINAL INDEPENDIENTE PROVINCIAL,794,
INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR,788,
AGRUPACION ATLANTICA,784,
SOBERANIA POPULAR,781,
POR UN SANTIAGO OBRERO,780,
ALIANZA FRENTE AMPLIO PODEMOS,776,
Nueva Izquierda,717,IZQUIERDA
FRENTE CIVICO PRO CHACO,683,
ENCUENTRO VECINAL CORDOBA,667,
FRENTE UNIDOS UNA,667,
COALICION CIVICA - ARI,664,
CHUBUT SOMOS TODOS,663,
MEMORIA Y MOVILIZACION SOCIAL,645,
Renovación Vecinal Auténtica,636,
POR LA JUSTICIA SOCIAL,632,
Partido Socialista,620,
SANTAFESINO CIEN POR CIENTO,606,
DEL CAMPO POPULAR,601,
FELICIDAD,573,
FRENTE SOCIAL Y POPULAR,571,
"FRENTE POPULAR - DE LOS RIOS LIBRES, LAS CHACRAS Y EL TRABAJO",564,
NUEVO SIGLO DE 25 DE MAYO,550,
DE LA CULTURA LA EDUCACION Y EL TRABAJO,540,
PODEMOS,539,
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,539,
ALIANZA FRENTE RENOVADOR FEDERAL POR LA ESPERANZA,533,
PODEMOS CON LA IZQUIERDA,526,IZQUIERDA
AUTODETERMINACION Y LIBERTAD,509,
NUEVO OCTUBRE,505,
Unión Vecinal Conservadora,500,
AGRUPACION VECINAL UNION POR MORON,496,
Unión por la Libertad,485,
POPULAR,458,
EL MOVIMIENTO,446,
NACIONALISTA CONSTITUCIONAL -  UNIR,444,
POLÍTICA OBRERA,436,
POR UN PUEBLO UNIDO,421,
MIRADA AMPLIA REGIONAL,395,
Progreso Social,392,
ALTERNATIVA POPULAR,386,
Alianza Frente Salteño,384,
CAUSA POPULAR BRANDSEN,379,
FRENTE SI + PRS,375,
SOMOS,374,
ENCUENTRO POR MENDOZA,371,
Movimiento Independiente de Jubilados y Desocupados,370,
FRENTE PLURAL,369,
CONSERVADOR POPULAR,364,
MOVIMIENTO COMUNITARIO PLURICULTURAL,361,
ACCION CIUDADANA,358,
ALTERNATIVA RENOVADORA FEDERAL,349,
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI),346,
PARTIDO LEALTAD Y DIGNIDAD,335,
RENOVADOR FEDERAL,335,
REPUBLICANO FEDERAL,333,
Partido Popular de la Reconstrucción,327,
FRENTE POPULAR PARA LA LIBERACION,320,
"UNITE! CON FE POR LA CULTURA, EDUCACION Y TRABAJO",313,
PARTIDO FEDERAL,312,
VAMOS ! MENDOCINOS,312,
UNION DE LOS NEUQUINOS,301,
Acuerdo Republicano Federal,300,
COALICION CIVICA - AFIRMACION PARA UNA REPUBLICA IGUALITARIA (ARI),292,
FRENTE UNION POR EL FUTURO,291,
FRENTE AMPLIO CATAMARQUEÑO,287,
Unión Popular,287,
MOV. AMPLIO DE TRAB. Y JUBILADOS-MATRAJU,282,
VECINALISMO INDEPENDIENTE,278,
VAMOS TODOS A VIVIR MEJOR,278,
UNION DEL CENTRO DEMOCRATICO,278,
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES (MST),275,
"MOVIMIENTO POLITICO, SOCIAL Y CULTURAL PROYECTO SUR",275,
PARTIDO DIGNIDAD CIUDADANA,273,
MVTO INDEPENDIENTE DE JUBILADOS Y DESOCUPADOS,271,
DEMOCRATA INDEPENDIENTE,266,
UN NUEVO PAIS (1P),250,
ESPACIO GRANDE,249,
FRENTE SOMOS CATAMARCA,248,
