distrito_id,seccion_id,in1_prov,in1_dpto
22,20,86,86154
22,21,86,86161
22,22,86,86147
22,23,86,86189
22,24,86,86175
22,25,86,86168
22,26,86,86182
22,27,86,86077
23,1,90,90084
23,2,90,90063
23,3,90,90028
23,4,90,90070
23,5,90,90021
23,6,90,90077
23,7,90,90042
23,8,90,90049
23,9,90,90035
23,10,90,90091
23,11,90,90056
23,12,90,90014
23,13,90,90007
23,14,90,90112
23,15,90,90119
23,16,90,90105
23,17,90,90098
24,1,94,94015
24,2,94,94008
24,5,94,94011
